Customer Name,Email,Location,Model,Range(km),Vehicle Type,Launch Date,Description,Cost,Price (NPR),Units Sold,Sale Date,Payment Method,Sale Month number,Sale Month Name,Sale Year,Total Revenue,Profit
Mrs. Rebecca Nguyen,danielthomas@vasquez.org,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2023-11-05,Full Cash,11,November,2023,40680000,36094500
David Morales,brandonmorales@watson-foster.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2022-11-02,Full Cash,11,November,2022,33900000,29314500
Christine Brown,jeffrey23@hotmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-11-22,EMI,11,November,2023,12345000,9564375
Robert Gonzales,diane88@valenzuela-baker.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-12-04,EMI,12,December,2023,4115000,1334375
Lawrence Nguyen,westvictor@norman.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2024-01-26,EMI,1,January,2024,40680000,36094500
Alexis Johnson,angelahoffman@park.org,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2023-09-14,EMI,9,September,2023,40680000,36094500
Randall Sandoval,garciamary@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-09-21,EMI,9,September,2023,0,-2780625
Sharon Ayers,keithcook@hotmail.com,Kathmandu,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,3,2024-02-20,Full Cash,2,February,2024,58500000,45337500
Denise Lyons,cherylriley@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-03-28,Full Cheque,3,March,2024,6780000,2194500
Anthony Williams,jeffrey01@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2024-01-26,EMI,1,January,2024,8230000,5449375
Sara Meyer,gentrychad@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2024-01-15,EMI,1,January,2024,13560000,8974500
Linda Reed,nelsonvictoria@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2023-07-28,EMI,7,July,2023,33900000,29314500
Ethan Vaughan,jason60@sweeney.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,3,2021-07-22,Full Cash,7,July,2021,17700000,13717500
Mary Williams,raymond80@hotmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-24,EMI,9,September,2023,8230000,5449375
John Robinson,brent40@mata-owens.info,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,2,2021-11-15,Full Cheque,11,November,2021,11800000,7817500
Kathryn Phillips,mitchellkaufman@gmail.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,6,2021-06-23,EMI,6,June,2021,35400000,31417500
Steven Mayo,julielee@khan.com,Kathmandu,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,6,2024-12-28,Full Cash,12,December,2024,35340000,31360250
Robert Williams,mcconnellamber@lester.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2024-03-11,Full Cash,3,March,2024,20340000,15754500
Michael Medina,amullen@guerra.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,6,2021-09-20,EMI,9,September,2021,35400000,31417500
Nathan Cook,zacharyfaulkner@reyes.biz,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-02-01,EMI,2,February,2023,6780000,2194500
Stephen Yates,tiffanysullivan@knox.biz,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,5,2023-09-25,Full Cheque,9,September,2023,20575000,17794375
Alicia Brewer,diana88@white.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2022-11-09,EMI,11,November,2022,0,-4585500
Robert Allen,xpeck@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2023-12-21,EMI,12,December,2023,0,-4585500
David Baker,meganreilly@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-12-05,Full Cheque,12,December,2023,6780000,2194500
Walter Anderson,adamsdeborah@berry.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-09-28,Full Cash,9,September,2023,6780000,2194500
Craig Myers,michelle90@lane-dunn.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,5,2022-01-04,EMI,1,January,2022,29500000,25517500
Richard Gonzales,wilsonmichael@yahoo.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,6,2023-09-18,EMI,9,September,2023,24690000,21909375
Dr. Bobby Mcintyre DDS,lisa43@gmail.com,Kathmandu,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,2,2024-12-28,EMI,12,December,2024,11780000,7800250
Briana Fuentes,melindarobertson@miller.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2023-11-24,EMI,11,November,2023,0,-4585500
Elaine Alvarado,pmoore@ramos.org,Kathmandu,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,6,2024-12-28,Full Cash,12,December,2024,35340000,31360250
Brandon Horton,mayjames@johnson.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-04-19,EMI,4,April,2024,6780000,2194500
Gregory Valdez,susanmanning@howell.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2022-11-17,Full Cheque,11,November,2022,33900000,29314500
Larry Spears,lisahall@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2023-03-04,EMI,3,March,2023,0,-4585500
Jennifer Payne,doylekimberly@anderson-green.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-09-20,EMI,9,September,2023,12345000,9564375
Kathy Smith,cfoster@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-06-06,EMI,6,June,2024,6780000,2194500
Rachel Hood,xjohnson@gmail.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,5,2021-09-15,Full Cash,9,September,2021,29500000,25517500
Michael Smith,amendez@yahoo.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,1,2023-01-03,EMI,1,January,2023,5900000,1917500
Justin Salazar,morrisalexander@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-16,EMI,9,September,2023,8230000,5449375
Ryan Michael,owelch@campbell-lam.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2022-10-18,EMI,10,October,2022,0,-4585500
Brian Jackson,deborah50@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-09-13,EMI,9,September,2023,12345000,9564375
Julie Abbott,qporter@yahoo.com,Kathmandu,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,5,2024-01-26,EMI,1,January,2024,97500000,84337500
Raymond Bell,keith44@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-08-06,Full Cheque,8,August,2023,6780000,2194500
Ms. Tracie Mathews,veronicabryant@hotmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-17,EMI,9,September,2023,4115000,1334375
Kevin Nichols,ronaldjohnson@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-01-23,Full Cheque,1,January,2023,6780000,2194500
Aaron Sharp,amanda08@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-12-29,Full Cheque,12,December,2023,20340000,15754500
Kristopher Williams,ssharp@cooke.org,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2024-06-19,Full Cash,6,June,2024,20340000,15754500
Robert Brown,toddwilson@combs-christensen.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-08-12,EMI,8,August,2023,6780000,2194500
Jessica Davis,hernandeztami@hernandez.org,Kathmandu,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,5,2024-12-27,Full Cash,12,December,2024,29450000,25470250
Margaret George,christinadougherty@yahoo.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-09-16,EMI,9,September,2023,0,-2780625
Ryan Cook,joelwalker@taylor-berger.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-08-12,Full Cash,8,August,2023,20340000,15754500
Marcus Harrison,marvinclayton@king.info,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2022-11-13,Full Cash,11,November,2022,40680000,36094500
Brandi Miller,adamslaura@holt-adams.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-11-06,EMI,11,November,2023,20340000,15754500
Bridget Castaneda,owilliams@moore.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2024-06-03,Full Cash,6,June,2024,33900000,29314500
Michael Bender,jeffrey40@harrison.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2024-08-19,EMI,8,August,2024,40680000,36094500
Scott Cook,kyle69@murphy.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-06-02,Full Cheque,6,June,2023,6780000,2194500
Abigail Adams,lguzman@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2023-12-30,EMI,12,December,2023,40680000,36094500
Michael Hurley,tstanton@perkins.biz,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-09-11,Full Cheque,9,September,2023,0,-2780625
Victoria Quinn,tracy65@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2024-05-16,EMI,5,May,2024,40680000,36094500
Robert Lyons,angela78@rocha-patton.com,Kathmandu,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,3,2024-12-28,EMI,12,December,2024,17670000,13690250
Dawn Jefferson,thompsonjose@carroll.biz,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-01-11,Full Cash,1,January,2023,20340000,15754500
Angela Flores,wdavis@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2023-04-07,Full Cash,4,April,2023,33900000,29314500
Heather Horne,valerie08@little.biz,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2023-11-18,EMI,11,November,2023,13560000,8974500
Amanda Abbott,oliviahicks@richardson-bell.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2022-11-28,EMI,11,November,2022,0,-4585500
